"first_name","last_name","amount"
"Rafael","Abney","5.99"
"Rafael","Abney","4.99"
"Rafael","Abney","7.99"
"Rafael","Abney","5.99"
"Rafael","Abney","2.99"
"Rafael","Abney","0.99"
"Rafael","Abney","2.99"
"Rafael","Abney","3.99"
"Rafael","Abney","2.99"
"Rafael","Abney","2.99"
"Rafael","Abney","4.99"
"Rafael","Abney","5.99"
"Rafael","Abney","6.99"
"Rafael","Abney","9.99"
"Rafael","Abney","4.99"
"Rafael","Abney","0.99"
"Rafael","Abney","4.99"
"Rafael","Abney","5.99"
"Rafael","Abney","4.99"
"Nathaniel","Adam","1.99"
"Nathaniel","Adam","6.99"
"Nathaniel","Adam","0.99"
"Nathaniel","Adam","3.99"
"Nathaniel","Adam","2.99"
"Nathaniel","Adam","1.99"
"Nathaniel","Adam","2.99"
"Nathaniel","Adam","2.99"
"Nathaniel","Adam","2.99"
"Nathaniel","Adam","5.99"
"Nathaniel","Adam","4.99"
"Nathaniel","Adam","6.99"
"Nathaniel","Adam","8.99"
"Nathaniel","Adam","4.99"
"Nathaniel","Adam","9.99"
"Nathaniel","Adam","6.99"
"Nathaniel","Adam","5.99"
"Nathaniel","Adam","0.99"
"Nathaniel","Adam","6.99"
"Nathaniel","Adam","3.99"
"Nathaniel","Adam","2.99"
"Nathaniel","Adam","2.99"
"Nathaniel","Adam","1.99"
"Nathaniel","Adam","4.99"
"Nathaniel","Adam","9.99"
"Kathleen","Adams","0.99"
"Kathleen","Adams","2.99"
"Kathleen","Adams","2.99"
"Kathleen","Adams","0.99"
"Kathleen","Adams","6.99"
"Kathleen","Adams","4.99"
"Kathleen","Adams","4.99"
"Kathleen","Adams","2.99"
"Kathleen","Adams","1.99"
"Kathleen","Adams","4.99"
"Kathleen","Adams","9.99"
"Kathleen","Adams","4.99"
"Kathleen","Adams","0.99"
"Kathleen","Adams","4.99"
"Kathleen","Adams","4.99"
"Kathleen","Adams","0.99"
"Kathleen","Adams","0.99"
"Kathleen","Adams","6.99"
"Kathleen","Adams","0.99"
"Kathleen","Adams","6.99"
"Kathleen","Adams","0.99"
"Kathleen","Adams","2.99"
"Kathleen","Adams","4.99"
"Kathleen","Adams","2.99"
"Kathleen","Adams","0.99"
"Diana","Alexander","3.99"
"Diana","Alexander","7.99"
"Diana","Alexander","0.99"
"Diana","Alexander","0.99"
"Diana","Alexander","5.99"
"Diana","Alexander","0.99"
"Diana","Alexander","0.99"
"Diana","Alexander","4.99"
"Diana","Alexander","3.99"
"Diana","Alexander","4.99"
"Diana","Alexander","4.99"
"Diana","Alexander","0.99"
"Diana","Alexander","4.99"
"Diana","Alexander","3.99"
"Diana","Alexander","4.99"
"Diana","Alexander","2.99"
"Diana","Alexander","2.99"
"Diana","Alexander","4.99"
"Diana","Alexander","0.99"
"Diana","Alexander","4.99"
"Diana","Alexander","2.99"
"Diana","Alexander","4.99"
"Diana","Alexander","6.99"
"Diana","Alexander","3.99"
"Diana","Alexander","4.99"
"Diana","Alexander","3.99"
"Diana","Alexander","4.99"
"Gordon","Allard","0.99"
"Gordon","Allard","0.99"
"Gordon","Allard","7.99"
"Gordon","Allard","0.99"
"Gordon","Allard","4.99"
"Gordon","Allard","1.99"
"Gordon","Allard","2.99"
"Gordon","Allard","0.99"
"Gordon","Allard","3.99"
"Gordon","Allard","8.99"
"Gordon","Allard","10.99"
"Gordon","Allard","4.99"
"Gordon","Allard","4.99"
"Gordon","Allard","4.99"
"Gordon","Allard","5.99"
"Gordon","Allard","4.99"
"Gordon","Allard","4.99"
"Gordon","Allard","4.99"
"Gordon","Allard","6.99"
